TILEMAP
16 16 							-- Size of tile map in tiles
32 32							-- Tile size & block size
images/walls.png 	-- Tilesheet
1 12							-- Initial player position
5 0							-- Win position
8 5 								-- Number of tiles in tilesheet
14  14  14  14  15   0   0   0  13  14  14  14  14  14  14  14
32  32  32  31   0   0   0   0  32  32  31   0   0   0   0   0
32  33  31   0   0  28  34   0  33  32   0   0   0   0   0   0
31   0   0   0   0   1   2   3  32  32   0   0   0   0   0   0
 0   0   0  28  28  13   9  10   7  32  29   0   0   0   0   0
29   0  28  32  32  32   8  10  32  31   0   0   0   0   0   0
32  33  32  32  32  33  13  15  32   0   0   0   0   0   0   0
32  32  32  32  35  32   1   3  31   0   0   0   0   0   0   0
32  31   0  30  32  32   8  10   0   0   0   0   0   0   0   0
30   0   0   0  32  33   8  10   0   0   0   0   0   0   0   0
 0   0   0   0  30  32   8  10   0   0   0   0   0   0   0   0
 0   0   0  28  32  32  13  15   0   0   0   0   0   0   0   0
36   0  28  33  32  31  30   0   0   0   0   0   0   0   0   0
 2   2   2   3  31   0   0   0   0   0   0   0   0   0   0   0
 9   9   9  10   0   0   0   0   0   0   0   0   0   0   0   0
 9   9  11  10   0   0   0   0   0   0   0   0   0   0   0   0
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   2   1   3   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #  10  10   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #  10  10   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #  10  10
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #  10  10   #   #
 #   #   #   #   #   #   #   #  10  10   #   #   #   #   #   #
 #   #   #   #  10  10   #   #   #   #   #   #   #   #   #   #
