TILEMAP
16 16 							-- Size of tile map in tiles
32 32							-- Tile size & block size
images/walls.png 	-- Tilesheet
1 11							-- Initial player position
8 5 								-- Number of tiles in tilesheet
14  15   0   0   0   8  14  14  14  15  13  14  14  14   9   9
32  35   0   0   0  17  32  31   0   0   0   0  30  32  13  11
33  32  29  36   0  28  32   0   0   0   0   0   0  32   0   8
30  32  32   4   5   6  31   0   0   0   0   0   0  32  29   8
 0  35  32  32  32  31   0   0   0   0   0   0  28  32  32  13
29  32  32  31   0   0   0   0   0   0   1   3  32  33  32  31
 0  29   0   0   0   0   0   0   0   0   8  10  35  32  31   0
 0   0   0   0   0   0   4   6   0  28   8  10  32  32   0   0
 0   0   0   0   0   0   7  33  32  32  13   9   3   0   0   0
 0   0   0   0   0   0  12  32  32  30  32  13  15  29   0   0
 0   0   0   0   0   0  17  32   0   0   0  30  32  32  29   0
 0   0  37   0   0   0   7  31   0   0   0   0  33  32   0   0
 5   5   5   6   0   0   7   0   0   0   0   0  30  32  29   0
30  32   7  29   0  28   7   0   0  28   0   4   5   5   5   5
 0  33   7  32  29  32  12   0   0  32  34  28   7  32  32  32
 0  30   7  32  35  32  16   0  28  32  32  32   7  32  32  32
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   0   0   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   0   0   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   5   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   4   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
