TILEMAP
16 16 							-- Size of tile map in tiles
32 32							-- Tile size & block size
images/walls.png 	-- Tilesheet
2 14							-- Initial player position
8 5 								-- Number of tiles in tilesheet
 9  11   9   9   9  10  32  32  32  32   8   9  11   9   9   9
 9   9  11   9  14  15  33  32  30  32  13  14   9   9  11   9
 9   9  14  15  32  32  32  31   0   0  30  32  13  14   9   9
11  10   0   0   0   0   0   0   0   0   0   0   0   0   8   9
 9  10   0   0   0   0   0   0   0   0   0   0   0   0   8   9
 9  15   0   0   0   0   0   0   0   0   0   0   0   0  13  11
10  32  29   0   0   0   0   4   6   0   0   0   0   0  32   8
10  35  35   0   0   0   0  32  32  29   0   0   0   0  30   8
15  33  32   0   0   0   0  35  33  32   0   0   0   0   0  13
30  32  29   0   0   0   0  30  32  31   0   0   0   0   0   0
 0  32  31   0   0   0  30  32  32   0   0   0   0   0   0   0
 0  30  32   0   0   0   0  28  33   0   0   0   0   0   0   0
 0  28  31   0   0   0   0  32  32   0   0   0   0   0   0   0
 0  35   0   0   0   0   0  32  35   0   0   0   0   0   0   0
28  32   0  38   0   0   0  28  32  29   0   0   0   0   0   0
32   1   2   3   0   0   0  32  32  32   0   0   0   0   0   0
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #  13   #   #   #   8   9   #   2   1   3   #  14   #   #
 #   #  13   #   #   #   #   #   #   #   #   #   #  14   #   #
 #   #  13   #   #   #   #   0   0   #   #   #   #  14   #   #
 #   #   #   #   #   #  14   #   #  13   #   #   #   #   #   #
 #   #   #   8   9   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   8   9   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   8   9   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   8   9   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
