TILEMAP
16 16 							-- Size of tile map in tiles
32 32							-- Tile size & block size
images/walls.png 	-- Tilesheet
1 14							-- Initial player position
3 0							-- Win position
8 5 								-- Number of tiles in tilesheet
10  32  32  32  32  13  14  14  14   9  11   9   9   9   9   9
10  32  33  32  32  32  30  30  32  13  14  14  14  14   9   9
10  32  32  32  32  31   0   0  30  32  32  32  33  32   8  11
10  32  32  32   0   0   0   0   0  32  32  32  32  32   8   9
10  30  32  32  34   0   0   0  30  32  32  33  32  32   8   9
10   0  32  35   0  34   0   0  28  32  32  32  32  32   8   9
 9   3  32  32  28  33   0   0  32  32  32  31   0  30  13  14
 9  15  32  32  32  32   0  28  32  32  29   0   0   0   0   0
15  32  32  32  32  32  32  32  32  32  32   0   0   0   0   0
32  32  32  33  32  32  32  32  32  32  31   0   0   0   0   0
30  32  32  32  32  35  32  32  32  32  34   0   0   0   0   0
 0   0  30  32  32  32  32  32  31  32  32  31   0   0   0  28
 0   0  30  32  32  32  31   0   0   0  35   0   0   0  30  32
26   0   0  32  33   0   0   0   0  30  32  29   0   0   0  32
27   0  28  32  32   0   0   0   0   0  28  32   0   0  28  32
 2   2   2   3  32   0   0   0   0   0  32  32  29   0  32  33
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   6   #   #   #   #   #   #   #   #   #
 #   0   #   #   #   #   7   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #  10   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #  10   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #  11   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #  10   #   #   #
 #   #   #   #   #   #  10  10  10   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
