TILEMAP
16 16 							-- Size of tile map in tiles
32 32							-- Tile size & block size
images/walls.png 	-- Tilesheet
2 12							-- Initial player position
8 5 								-- Number of tiles in tilesheet
 9  14  15   0   0   0   8  14  14  14  14  14  14  14   9   9
10  32  32   0   0   0  16  18  19  32  32  32  32  32   8   9
15  32  29   0   0   0  17  20  21  30  33  32   0  30   8   9
32  32  35  31   0   0   0   0   0   0  32  32  29   0   8  11
32  32  32   0   0   0   0   0   0  30  32  32  32   0   8   9
32  33  32   0   0   0   0   0   0   0  28  32  31   0   8   9
32  32  32  34   0   0   0   0   0   0  32  33   0   0  13  14
32  32  32  32  35  31   0   0   0  30  32  32  34   0   0  32
32  31   0   0  30   0   0   0   0   0  33  30  31   0  28  32
32  28   0   0   0   0   0   0   0   0  32   0   0   0  32  32
33  31   0   0   0   0   0   0   0  28  35  31   0   0  32  33
31   0   0   0   0   0   0   0   0   0  30   0   0   0  32  31
 0   0   0   0   0   0   0   0   0   0   0   0   0   0  30  28
 0   0   7   0   0   0   1   2   3   0   0   0   0   0   0  30
 2   2   2   2   2   3   8  11  10  29   0   0   7   7   0   0
 9  11   9   9   9  10   8   9  10   2   2   2   2   2   2   2
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   6   #   #   #   6   #   #   #   #   #   #   #
 #   #   #   #   7   #   #   #   7   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
 #   #   #   #   #   #   0   0   0   #   #   #   #   #   #   #
 0   0   #   0   0   0   #   #   #   #   #   #  11  11   #   #
 #   #   #   #   #   #   #   #   #   0   0   0   #   #   0   0
 #   #   #   #   #   #   #   #   #   #   #   #   #   #   #   #
